Year,Age,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,OPS+,TB
1897,23,62,263,242,38,81,18,4,2,39,15,14,0.335,0.376,0.467,0.843,125,113
1898,24,151,635,588,80,176,29,3,10,105,31,20,0.299,0.341,0.41,0.751,115,241
1899,25,148,630,575,100,196,45,13,7,114,40,36,0.341,0.395,0.501,0.895,145,288
1900,26,135,580,527,107,201,45,22,4,100,41,17,0.381,0.434,0.573,1.007,176,302
1901,27,140,620,549,101,194,37,11,6,126,53,39,0.353,0.417,0.494,0.911,160,271
1902,28,136,600,534,105,176,30,16,3,91,43,51,0.33,0.394,0.463,0.857,161,247
1903,29,129,573,512,97,182,30,19,5,101,44,17,0.355,0.414,0.518,0.931,161,265
1904,30,132,562,490,97,171,44,14,4,75,59,44,0.349,0.423,0.52,0.944,188,255
1905,31,147,619,548,114,199,32,14,6,101,54,53,0.363,0.427,0.505,0.932,175,277
1906,32,142,590,516,103,175,38,9,2,71,58,31,0.339,0.416,0.459,0.875,168,237
1907,33,142,584,515,98,180,38,14,6,82,46,40,0.35,0.408,0.513,0.921,187,264
1908,34,151,641,568,100,201,39,19,10,109,54,22,0.354,0.415,0.542,0.957,205,308
1909,35,137,591,495,92,168,39,10,5,100,66,24,0.339,0.42,0.489,0.909,177,242
1910,36,150,640,556,90,178,34,8,4,81,59,47,0.32,0.39,0.432,0.822,133,240
1911,37,130,559,473,87,158,23,16,9,89,67,34,0.334,0.423,0.507,0.93,156,240
1912,38,145,634,558,91,181,35,20,7,101,59,38,0.324,0.395,0.496,0.891,143,277
1913,39,114,455,413,51,124,18,4,3,56,26,40,0.3,0.349,0.385,0.734,113,159
1914,40,150,616,552,60,139,15,9,1,50,51,51,0.252,0.317,0.317,0.634,93,175
1915,41,156,625,566,68,155,32,17,6,78,39,64,0.274,0.325,0.422,0.747,127,239
1916,42,123,485,432,45,124,15,9,1,39,34,36,0.287,0.35,0.37,0.721,121,160
1917,43,74,264,230,15,61,7,1,0,24,24,17,0.265,0.337,0.304,0.642,95,70
