Year,Age,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,OPS+,TB
1963,22,157,696,623,101,170,25,9,6,41,55,72,0.273,0.334,0.371,0.705,101,231
1964,23,136,558,516,64,139,13,2,4,34,36,51,0.269,0.319,0.326,0.645,80,168
1965,24,162,757,670,117,209,35,11,11,81,69,76,0.312,0.382,0.446,0.828,127,299
1966,25,156,701,654,97,205,38,5,16,70,37,61,0.313,0.351,0.46,0.811,115,301
1967,26,148,650,585,86,176,32,8,12,76,56,66,0.301,0.364,0.444,0.808,120,260
1968,27,149,692,626,94,210,42,6,10,49,56,76,0.335,0.391,0.47,0.861,152,294
1969,28,156,731,627,120,218,33,11,16,82,88,65,0.348,0.428,0.512,0.94,158,321
1970,29,159,730,649,120,205,37,9,15,52,73,64,0.316,0.385,0.47,0.855,125,305
1971,30,160,709,632,86,192,27,4,13,44,68,50,0.304,0.373,0.421,0.793,130,266
1972,31,154,731,645,107,198,31,11,6,57,73,46,0.307,0.382,0.417,0.799,134,269
1973,32,160,752,680,115,230,36,8,5,64,65,42,0.338,0.401,0.437,0.838,138,297
1974,33,163,771,652,110,185,45,7,3,51,106,54,0.284,0.385,0.388,0.773,118,253
1975,34,162,764,662,112,210,47,4,7,74,89,50,0.317,0.406,0.432,0.838,132,286
1976,35,162,759,665,130,215,42,6,10,63,86,54,0.323,0.404,0.45,0.854,141,299
1977,36,162,732,655,95,204,38,7,9,64,66,42,0.311,0.377,0.432,0.809,115,283
1978,37,159,731,655,103,198,51,3,7,52,62,30,0.302,0.362,0.421,0.783,119,276
1979,38,163,732,628,90,208,40,5,4,59,95,32,0.331,0.418,0.43,0.848,130,270
1980,39,162,739,655,95,185,42,1,1,64,66,33,0.282,0.352,0.354,0.706,94,232
1981,40,107,486,431,73,140,18,5,0,33,46,26,0.325,0.391,0.39,0.781,119,168
1982,41,162,720,634,80,172,25,4,3,54,66,32,0.271,0.345,0.338,0.683,90,214
1983,42,151,555,493,52,121,14,3,0,45,52,28,0.245,0.316,0.286,0.602,69,141
1984,43,121,421,374,43,107,15,2,0,34,40,27,0.286,0.359,0.337,0.696,99,126
1985,44,119,501,405,60,107,12,2,2,46,86,35,0.264,0.395,0.319,0.713,99,129
1986,45,72,272,237,15,52,8,2,0,25,30,31,0.219,0.316,0.27,0.586,61,64
