Year,Age,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,OPS+,TB
1941,20,12,49,47,8,20,4,0,1,7,2,1,0.426,0.449,0.574,1.023,179,27
1942,21,140,536,467,87,147,32,10,10,72,62,25,0.315,0.397,0.49,0.888,151,229
1943,22,157,701,617,108,220,48,20,13,81,72,18,0.357,0.425,0.562,0.988,177,347
1944,23,146,668,568,112,197,51,14,12,94,90,28,0.347,0.44,0.549,0.99,174,312
1945,24,Did not play in major or minor leagues (Military Service),,,,,,,,,,,,,,,,
1946,25,156,702,624,124,228,50,20,16,103,73,31,0.365,0.434,0.587,1.021,183,366
1947,26,149,678,587,113,183,30,13,19,95,80,24,0.312,0.398,0.504,0.902,134,296
1948,27,155,698,611,135,230,46,18,39,131,79,34,0.376,0.45,0.702,1.152,200,429
1949,28,157,722,612,128,207,41,13,36,123,107,38,0.338,0.438,0.624,1.062,177,382
1950,29,146,645,555,105,192,41,7,28,109,87,36,0.346,0.437,0.596,1.034,165,331
1951,30,152,678,578,124,205,30,12,32,108,98,40,0.355,0.449,0.614,1.063,183,355
1952,31,154,678,578,105,194,42,6,21,91,96,29,0.336,0.432,0.538,0.97,167,311
1953,32,157,698,593,127,200,53,9,30,113,105,32,0.337,0.437,0.609,1.046,169,361
1954,33,153,705,591,120,195,41,9,35,126,103,39,0.33,0.428,0.607,1.036,167,359
1955,34,154,656,562,97,179,30,5,33,108,80,39,0.319,0.408,0.566,0.974,157,318
1956,35,156,682,594,87,184,33,6,27,109,75,39,0.31,0.386,0.522,0.908,143,310
1957,36,134,579,502,82,176,38,3,29,102,66,34,0.351,0.422,0.612,1.034,172,307
1958,37,135,549,472,64,159,35,2,17,62,72,26,0.337,0.423,0.528,0.95,145,249
1959,38,115,404,341,37,87,13,2,14,44,60,25,0.255,0.364,0.428,0.792,106,146
1960,39,116,378,331,49,91,17,1,17,63,41,34,0.275,0.354,0.486,0.841,121,161
1961,40,123,431,372,46,107,22,4,15,70,52,35,0.288,0.371,0.489,0.86,119,182
1962,41,135,505,433,57,143,18,1,19,82,64,46,0.33,0.416,0.508,0.924,137,220
1963,42,124,379,337,34,86,10,2,12,58,35,43,0.255,0.325,0.404,0.728,101,136
