Year,Age,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,OPS+,TB
1939,20,149,677,565,131,185,44,11,31,145,107,64,0.327,0.436,0.609,1.045,160,344
1940,21,144,661,561,134,193,43,14,23,113,96,54,0.344,0.442,0.594,1.036,162,333
1941,22,143,606,456,135,185,33,3,37,120,147,27,0.406,0.553,0.735,1.287,235,335
1942,23,150,671,522,141,186,34,5,36,137,145,51,0.356,0.499,0.648,1.147,216,338
1943,24,Did not play in major or minor leagues (Military Service),,,,,,,,,,,,,,,,
1944,25,Did not play in major or minor leagues (Military Service),,,,,,,,,,,,,,,,
1945,26,Did not play in major or minor leagues (Military Service),,,,,,,,,,,,,,,,
1946,27,150,672,514,142,176,37,8,38,123,156,44,0.342,0.497,0.667,1.164,215,343
1947,28,156,693,528,125,181,40,9,32,114,162,47,0.343,0.499,0.634,1.133,205,335
1948,29,137,638,509,124,188,44,3,25,127,126,41,0.369,0.497,0.615,1.112,189,313
1949,30,155,730,566,150,194,39,3,43,159,162,48,0.343,0.49,0.65,1.141,191,368
1950,31,89,416,334,82,106,24,1,28,97,82,21,0.317,0.452,0.647,1.099,168,216
1951,32,148,675,531,109,169,28,4,30,126,144,45,0.318,0.464,0.556,1.019,164,295
1952,33,6,12,10,2,4,0,1,1,3,2,2,0.4,0.5,0.9,1.4,273,9
1953,34,37,110,91,17,37,6,0,13,34,19,10,0.407,0.509,0.901,1.41,268,82
1954,35,117,526,386,93,133,23,1,29,89,136,32,0.345,0.513,0.635,1.148,201,245
1955,36,98,417,320,77,114,21,3,28,83,91,24,0.356,0.496,0.703,1.2,209,225
1956,37,136,503,400,71,138,28,2,24,82,102,39,0.345,0.479,0.605,1.084,172,242
1957,38,132,547,420,96,163,28,1,38,87,119,43,0.388,0.526,0.731,1.257,233,307
1958,39,129,517,411,81,135,23,2,26,85,98,49,0.328,0.458,0.584,1.042,179,240
1959,40,103,331,272,32,69,15,0,10,43,52,27,0.254,0.372,0.419,0.791,114,114
1960,41,113,390,310,56,98,15,0,29,72,75,41,0.316,0.451,0.645,1.096,190,200
