Year,Age,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,OPS+,TB
2001,21,161,676,590,112,194,47,4,37,130,69,93,0.329,0.403,0.61,1.013,157,360
2002,22,157,675,590,118,185,40,2,34,127,72,69,0.314,0.394,0.561,0.955,151,331
2003,23,157,685,591,137,212,51,1,43,124,79,65,0.359,0.439,0.667,1.106,187,394
2004,24,154,692,592,133,196,51,2,46,123,84,52,0.331,0.415,0.657,1.072,173,389
2005,25,161,700,591,129,195,38,2,41,117,97,65,0.33,0.43,0.609,1.039,168,360
2006,26,143,634,535,119,177,33,1,49,137,92,50,0.331,0.431,0.671,1.102,178,359
2007,27,158,679,565,99,185,38,1,32,103,99,58,0.327,0.429,0.568,0.997,157,321
2008,28,148,641,524,100,187,44,0,37,116,104,54,0.357,0.462,0.653,1.114,192,342
2009,29,160,700,568,124,186,45,1,47,135,115,64,0.327,0.443,0.658,1.101,189,374
2010,30,159,700,587,115,183,39,1,42,118,103,76,0.312,0.414,0.596,1.011,173,350
2011,31,147,651,579,105,173,29,0,37,99,61,58,0.299,0.366,0.541,0.906,148,313
2012,32,154,670,607,85,173,50,0,30,105,52,76,0.285,0.343,0.516,0.859,138,313
2013,33,99,443,391,49,101,19,0,17,64,40,55,0.258,0.33,0.437,0.767,116,171
2014,34,159,695,633,89,172,37,1,28,105,48,71,0.272,0.324,0.466,0.79,126,295
2015,35,157,661,602,85,147,22,0,40,95,50,72,0.244,0.307,0.48,0.787,118,289
2016,36,152,650,593,71,159,19,0,31,119,49,75,0.268,0.323,0.457,0.78,113,271
2017,37,149,636,593,53,143,17,0,23,101,37,93,0.241,0.286,0.386,0.672,80,229
2018,38,117,498,465,50,114,20,0,19,64,28,65,0.245,0.289,0.411,0.7,91,191
2019,39,131,545,491,55,120,22,0,23,93,43,68,0.244,0.305,0.43,0.734,92,211
2020,40,39,163,152,15,34,8,0,6,25,9,25,0.224,0.27,0.395,0.665,79,60
2021,41,109,296,275,29,65,3,0,17,50,14,45,0.236,0.284,0.433,0.717,89,119
2021,41,24,92,86,9,17,0,0,5,12,3,13,0.198,0.25,0.372,0.622,66,32
2021,41,85,204,189,20,48,3,0,12,38,11,32,0.254,0.299,0.46,0.759,99,87
2022,42,109,351,307,42,83,14,0,24,68,28,55,0.27,0.345,0.55,0.895,151,169
