Year,Age,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,OPS+,TB
1986,21,113,484,413,72,92,26,3,16,48,65,102,0.223,0.33,0.416,0.746,103,172
1987,22,150,611,551,99,144,34,9,25,59,54,88,0.261,0.329,0.492,0.821,114,271
1988,23,144,614,538,97,152,30,5,24,58,72,82,0.283,0.368,0.491,0.859,148,264
1989,24,159,679,580,96,144,34,6,19,58,93,93,0.248,0.351,0.426,0.777,126,247
1990,25,151,621,519,104,156,32,3,33,114,93,83,0.301,0.406,0.565,0.97,170,293
1991,26,153,634,510,95,149,28,5,25,116,107,73,0.292,0.41,0.514,0.924,160,262
1992,27,140,612,473,109,147,36,5,34,103,127,69,0.311,0.456,0.624,1.08,204,295
1993,28,159,674,539,129,181,38,4,46,123,126,79,0.336,0.458,0.677,1.136,206,365
1994,29,112,474,391,89,122,18,1,37,81,74,43,0.312,0.426,0.647,1.073,183,253
1995,30,144,635,506,109,149,30,7,33,104,120,83,0.294,0.431,0.577,1.009,170,292
1996,31,158,675,517,122,159,27,3,42,129,151,76,0.308,0.461,0.615,1.076,188,318
1997,32,159,690,532,123,155,26,5,40,101,145,87,0.291,0.446,0.585,1.031,170,311
1998,33,156,697,552,120,167,44,7,37,122,130,92,0.303,0.438,0.609,1.047,178,336
1999,34,102,434,355,91,93,20,2,34,83,73,62,0.262,0.389,0.617,1.006,156,219
2000,35,143,607,480,129,147,28,4,49,106,117,77,0.306,0.44,0.688,1.127,188,330
2001,36,153,664,476,129,156,32,2,73,137,177,93,0.328,0.515,0.863,1.379,259,411
2002,37,143,612,403,117,149,31,2,46,110,198,47,0.37,0.582,0.799,1.381,268,322
2003,38,130,550,390,111,133,22,1,45,90,148,58,0.341,0.529,0.749,1.278,231,292
2004,39,147,617,373,129,135,27,3,45,101,232,41,0.362,0.609,0.812,1.422,263,303
2005,40,14,52,42,8,12,1,0,5,10,9,6,0.286,0.404,0.667,1.071,174,28
2006,41,130,493,367,74,99,23,0,26,77,115,51,0.27,0.454,0.545,0.999,156,200
2007,42,126,477,340,75,94,14,0,28,66,132,54,0.276,0.48,0.565,1.045,169,192
