Year,Age,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,OPS+,TB
2012,19,139,597,533,98,144,26,9,22,59,56,120,0.27,0.34,0.477,0.817,118,254
2013,20,118,497,424,71,116,24,3,20,58,61,94,0.274,0.368,0.486,0.854,133,206
2014,21,100,395,352,41,96,10,2,13,32,38,104,0.273,0.344,0.423,0.768,111,149
2015,22,153,654,521,118,172,38,1,42,99,124,131,0.33,0.46,0.649,1.109,198,338
2016,23,147,627,506,84,123,24,2,24,86,108,117,0.243,0.373,0.441,0.814,114,223
2017,24,111,492,420,95,134,27,1,29,87,68,99,0.319,0.413,0.595,1.008,156,250
2018,25,159,695,550,103,137,34,0,34,100,130,169,0.249,0.393,0.496,0.889,133,273
2019,26,157,682,573,98,149,36,1,35,114,99,178,0.26,0.372,0.51,0.882,126,292
2020,27,58,244,190,41,51,9,2,13,33,49,43,0.268,0.42,0.542,0.962,158,103
2021,28,141,599,488,101,151,42,1,35,84,100,134,0.309,0.429,0.615,1.044,179,300
2022,29,99,426,370,63,106,28,1,18,65,46,87,0.286,0.364,0.514,0.877,146,190
2023,30,126,546,457,84,134,29,1,21,72,80,119,0.293,0.401,0.499,0.9,144,228
2024,31,63,276,231,38,65,12,0,15,46,43,62,0.281,0.391,0.528,0.919,162,122
