Year,Age,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,OPS+,TB
1954,20,122,509,468,58,131,27,6,13,69,28,39,0.28,0.322,0.447,0.769,104,209
1955,21,153,665,602,105,189,37,9,27,106,49,61,0.314,0.366,0.54,0.906,141,325
1956,22,153,660,609,106,200,34,14,26,92,37,54,0.328,0.365,0.558,0.923,151,340
1957,23,151,675,615,118,198,27,6,44,132,57,58,0.322,0.378,0.6,0.978,166,369
1958,24,153,664,601,109,196,34,4,30,95,59,49,0.326,0.386,0.546,0.931,153,328
1959,25,154,693,629,116,223,46,7,39,123,51,54,0.355,0.401,0.636,1.037,183,400
1960,26,153,664,590,102,172,20,11,40,126,60,63,0.292,0.352,0.566,0.919,156,334
1961,27,155,671,603,115,197,39,10,34,120,56,64,0.327,0.381,0.594,0.974,163,358
1962,28,156,667,592,127,191,28,6,45,128,66,73,0.323,0.39,0.618,1.008,170,366
1963,29,161,714,631,121,201,29,4,44,130,78,94,0.319,0.391,0.586,0.977,179,370
1964,30,145,634,570,103,187,30,2,24,95,62,46,0.328,0.393,0.514,0.907,153,293
1965,31,150,639,570,109,181,40,1,32,89,60,81,0.318,0.379,0.56,0.938,161,319
1966,32,158,688,603,117,168,23,1,44,127,76,96,0.279,0.356,0.539,0.895,142,325
1967,33,155,669,600,113,184,37,3,39,109,63,97,0.307,0.369,0.573,0.943,168,344
1968,34,160,676,606,84,174,33,4,29,86,64,62,0.287,0.354,0.498,0.852,153,302
1969,35,147,639,547,100,164,30,3,44,97,87,47,0.3,0.396,0.607,1.003,177,332
1970,36,150,598,516,103,154,26,1,38,118,74,63,0.298,0.385,0.574,0.958,149,296
1971,37,139,573,495,95,162,22,3,47,118,71,58,0.327,0.41,0.669,1.079,194,331
1972,38,129,545,449,75,119,10,0,34,77,92,55,0.265,0.39,0.514,0.904,147,231
1973,39,120,465,392,84,118,12,1,40,96,68,51,0.301,0.402,0.643,1.045,177,252
1974,40,112,382,340,47,91,16,0,20,69,39,29,0.268,0.341,0.491,0.832,128,167
1975,41,137,543,465,45,109,16,2,12,60,70,51,0.234,0.332,0.355,0.687,95,165
1976,42,85,308,271,22,62,8,0,10,35,35,38,0.229,0.315,0.369,0.684,102,100
