Year,Age,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,OPS+,TB
2011,19,40,135,123,20,27,6,0,5,16,9,30,0.22,0.281,0.39,0.672,89,48
2012,20,139,639,559,129,182,27,8,30,83,67,139,0.326,0.399,0.564,0.963,168,315
2013,21,157,716,589,109,190,39,9,27,97,110,136,0.323,0.432,0.557,0.988,179,328
2014,22,157,705,602,115,173,39,9,36,111,83,184,0.287,0.377,0.561,0.939,169,338
2015,23,159,682,575,104,172,32,6,41,90,92,158,0.299,0.402,0.59,0.991,176,339
2016,24,159,681,549,123,173,32,5,29,100,116,137,0.315,0.441,0.55,0.991,173,302
2017,25,114,507,402,92,123,25,3,33,72,94,90,0.306,0.442,0.629,1.071,186,253
2018,26,140,608,471,101,147,24,4,39,79,122,124,0.312,0.46,0.628,1.088,198,296
2019,27,134,600,470,110,137,27,2,45,104,110,120,0.291,0.438,0.645,1.083,182,303
2020,28,53,241,199,41,56,9,2,17,46,35,56,0.281,0.39,0.603,0.993,167,120
2021,29,36,146,117,23,39,8,1,8,18,27,41,0.333,0.466,0.624,1.09,194,73
2022,30,119,499,438,85,124,28,2,40,80,54,139,0.283,0.369,0.63,0.999,176,276
2023,31,82,362,308,54,81,14,1,18,44,45,104,0.263,0.367,0.49,0.858,131,151
2024,32,29,126,109,17,24,1,2,10,14,16,27,0.22,0.325,0.541,0.867,140,59
