Year,Age,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,OPS+,TB
1905,18,41,165,151,19,36,6,0,1,15,10,23,0.238,0.286,0.298,0.584,85,45
1906,19,98,394,358,45,113,15,5,1,41,19,40,0.316,0.355,0.394,0.749,132,141
1907,20,150,642,605,99,212,28,14,5,119,24,55,0.35,0.38,0.468,0.848,167,283
1908,21,150,635,580,88,188,36,20,4,108,34,42,0.324,0.368,0.476,0.844,170,276
1909,22,156,655,573,115,216,33,10,9,107,48,45,0.377,0.431,0.517,0.947,192,296
1910,23,140,598,508,106,194,35,13,8,91,64,46,0.382,0.455,0.549,1.004,205,279
1911,24,146,656,592,148,248,47,24,8,127,44,42,0.419,0.466,0.62,1.086,196,367
1912,25,140,610,553,119,226,30,23,7,83,43,30,0.409,0.456,0.584,1.04,200,323
1913,26,122,504,429,70,167,18,16,4,67,58,31,0.389,0.466,0.534,1,194,229
1914,27,98,415,345,69,127,22,11,2,57,57,22,0.368,0.466,0.513,0.979,190,177
1915,28,156,701,563,144,208,31,13,3,99,118,43,0.369,0.486,0.487,0.973,185,274
1916,29,145,637,543,113,201,31,10,5,68,78,39,0.37,0.451,0.492,0.943,179,267
1917,30,152,671,588,107,225,44,24,6,106,61,34,0.383,0.444,0.57,1.014,209,335
1918,31,111,474,421,81,161,19,14,3,62,41,21,0.382,0.44,0.515,0.955,194,217
1919,32,124,548,498,92,191,36,13,1,67,38,22,0.384,0.428,0.514,0.942,166,256
1920,33,112,496,428,87,143,28,8,2,63,58,28,0.334,0.416,0.451,0.867,133,193
1921,34,128,582,507,124,197,37,16,12,101,56,19,0.389,0.452,0.596,1.048,166,302
1922,35,137,613,526,99,211,42,16,4,99,55,24,0.401,0.462,0.565,1.026,169,297
1923,36,145,648,556,103,189,40,7,6,88,66,14,0.34,0.413,0.469,0.882,134,261
1924,37,155,727,625,114,211,38,10,4,79,85,18,0.338,0.418,0.45,0.867,126,281
1925,38,121,492,415,97,157,31,12,12,102,65,12,0.378,0.468,0.598,1.066,171,248
1926,39,79,273,233,48,79,18,5,4,62,26,2,0.339,0.408,0.511,0.918,138,119
1927,40,133,574,490,104,175,32,7,5,93,67,12,0.357,0.44,0.482,0.921,134,236
1928,41,95,393,353,54,114,27,4,1,40,34,16,0.323,0.389,0.431,0.819,112,152
